순위,티커,종목명,티어,종가,등락률,시가총액,거래량,거래대금,PER,ROE,외국인비율,자동점수,점수상세
22,068270,셀트리온,D,191700,-0.62,42580900000000.0,858959,164662440300,34.96,5.94,24.62,66.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 1}"
23,010120,LS ELECTRIC,?,267000,10.56,40050000000000.0,2308079,616257093000,118.77,14.67,17.83,64.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 10, ""ROE"": 12, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
24,267260,HD현대일렉트릭,C,1066000,1.23,38426200000000.0,178531,190314046000,48.85,41.5,35.8,72.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 1}"
25,042660,한화오션,C,124900,1.3,38271000000000.0,1900954,237429154600,25.01,22.59,11.07,43.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 4, ""ROE"": 12, ""현금흐름"": 0, ""부채안정성"": 2, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 3}"
26,011070,LG이노텍,?,1530000,4.94,36210700000000.0,1527009,2336323770000,74.69,6.14,24.67,52.0,"{""사업이해도"": 5, ""매출성장성"": 5, ""영업이익안정성"": 7, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 1}"
27,000150,두산,C,2203000,11.71,35675000000000.0,222852,490942956000,514.0,4.99,19.5,46.0,"{""사업이해도"": 5, ""매출성장성"": 5, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
28,298040,효성중공업,?,3811000,3.42,35535900000000.0,68676,261724236000,70.37,24.41,26.9,66.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 12, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
29,006800,미래에셋증권,?,60900,-0.81,34077600000000.0,3532253,215114207700,28.27,12.36,8.56,43.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 0, ""부채안정성"": 0, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 3}"
30,005490,POSCO홀딩스,C,413000,-2.48,32726800000000.0,530828,219231964000,40.63,1.18,31.2,42.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 7, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 1}"
31,086790,하나금융지주,A,113900,-1.04,31250500000000.0,811961,92482357900,8.07,9.17,68.16,56.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 0, ""부채안정성"": 0, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 10}"
